supplier_id,supplier_name,supplier_type_id,supplier_type_name,location_id,location_name,city,supplier_latitude,supplier_longitude,product_category_scope,minimum_order_qty_units,max_order_qty_units,max_ship_qty_at_once_units,supplier_storage_capacity_units,vehicle_type,vehicle_count,vehicle_load_capacity_units,lead_time_days,location_note,_row_id,_source_file,_source_sheet,_staged_at
SUP-KOL-003-01,Dhakuria Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-003,Dhakuria,Kolkata,22.51175,88.36465,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,80,2100,850,2500,Refrigerated Mini Truck,4,34,1,Approximate planning coordinate near area center,11,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-003-02,Dhakuria Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-003,Dhakuria,Kolkata,22.51445,88.36485,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",100,2500,1150,3300,Mini Truck,5,30,1,Approximate planning coordinate near area center,12,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-003-03,Dhakuria Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-003,Dhakuria,Kolkata,22.51215,88.36735,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,60,1900,900,2700,Tempo/LCV,4,28,1,Approximate planning coordinate near area center,13,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-003-04,Dhakuria Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-003,Dhakuria,Kolkata,22.51425,88.36725,Soft Drinks & Beverages; Tea & Coffee,80,2100,1050,2100,Van,4,26,1,Approximate planning coordinate near area center,14,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-003-05,"Dhakuria Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-003,Dhakuria,Kolkata,22.51315,88.36585,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,50,1700,750,2100,Mini Truck,4,29,1,Approximate planning coordinate near area center,15,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-004-01,Gariahat Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-004,Gariahat,Kolkata,22.516,88.3638,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,90,1800,900,2600,Refrigerated Mini Truck,3,34,1,Approximate planning coordinate near area center,16,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-004-02,Gariahat Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-004,Gariahat,Kolkata,22.5187,88.364,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",110,2200,1200,3400,Mini Truck,4,30,1,Approximate planning coordinate near area center,17,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-004-03,Gariahat Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-004,Gariahat,Kolkata,22.5164,88.3665,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,70,1600,950,2800,Tempo/LCV,3,28,1,Approximate planning coordinate near area center,18,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-004-04,Gariahat Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-004,Gariahat,Kolkata,22.5185,88.3664,Soft Drinks & Beverages; Tea & Coffee,90,1800,1100,2200,Van,3,26,1,Approximate planning coordinate near area center,19,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-004-05,"Gariahat Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-004,Gariahat,Kolkata,22.5174,88.365,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,60,1400,800,2200,Mini Truck,3,29,1,Approximate planning coordinate near area center,20,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-005-01,Ballygunge Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-005,Ballygunge,Kolkata,22.52395,88.36365,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,100,1900,700,2200,Refrigerated Mini Truck,4,34,1,Approximate planning coordinate near area center,21,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-005-02,Ballygunge Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-005,Ballygunge,Kolkata,22.52665,88.36385,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",120,2300,1000,3000,Mini Truck,5,30,1,Approximate planning coordinate near area center,22,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-005-03,Ballygunge Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-005,Ballygunge,Kolkata,22.52435,88.36635,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,80,1700,750,2400,Tempo/LCV,4,28,1,Approximate planning coordinate near area center,23,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-005-04,Ballygunge Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-005,Ballygunge,Kolkata,22.52645,88.36625,Soft Drinks & Beverages; Tea & Coffee,100,1900,900,1800,Van,4,26,1,Approximate planning coordinate near area center,24,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-005-05,"Ballygunge Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-005,Ballygunge,Kolkata,22.52535,88.36485,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,70,1500,600,1800,Mini Truck,4,29,1,Approximate planning coordinate near area center,25,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-006-01,Jodhpur Park Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-006,Jodhpur Park,Kolkata,22.49885,88.36815,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,80,2000,750,2300,Refrigerated Mini Truck,3,34,1,Approximate planning coordinate near area center,26,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-006-02,Jodhpur Park Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-006,Jodhpur Park,Kolkata,22.50155,88.36835,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",100,2400,1050,3100,Mini Truck,4,30,1,Approximate planning coordinate near area center,27,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-006-03,Jodhpur Park Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-006,Jodhpur Park,Kolkata,22.49925,88.37085,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,60,1800,800,2500,Tempo/LCV,3,28,1,Approximate planning coordinate near area center,28,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-006-04,Jodhpur Park Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-006,Jodhpur Park,Kolkata,22.50135,88.37075,Soft Drinks & Beverages; Tea & Coffee,80,2000,950,1900,Van,3,26,1,Approximate planning coordinate near area center,29,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-006-05,"Jodhpur Park Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-006,Jodhpur Park,Kolkata,22.50025,88.36935,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,50,1600,650,1900,Mini Truck,3,29,1,Approximate planning coordinate near area center,30,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-007-01,Tollygunge Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-007,Tollygunge,Kolkata,22.4941,88.3476,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,90,2100,800,2400,Refrigerated Mini Truck,4,34,1,Approximate planning coordinate near area center,31,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-007-02,Tollygunge Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-007,Tollygunge,Kolkata,22.4968,88.3478,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",110,2500,1100,3200,Mini Truck,5,30,1,Approximate planning coordinate near area center,32,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-007-03,Tollygunge Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-007,Tollygunge,Kolkata,22.4945,88.3503,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,70,1900,850,2600,Tempo/LCV,4,28,1,Approximate planning coordinate near area center,33,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-007-04,Tollygunge Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-007,Tollygunge,Kolkata,22.4966,88.3502,Soft Drinks & Beverages; Tea & Coffee,90,2100,1000,2000,Van,4,26,1,Approximate planning coordinate near area center,34,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-007-05,"Tollygunge Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-007,Tollygunge,Kolkata,22.4955,88.3488,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,60,1700,700,2000,Mini Truck,4,29,1,Approximate planning coordinate near area center,35,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-008-01,Golf Green Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-008,Golf Green,Kolkata,22.48435,88.34675,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,100,1800,850,2500,Refrigerated Mini Truck,3,34,1,Approximate planning coordinate near area center,36,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-008-02,Golf Green Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-008,Golf Green,Kolkata,22.48705,88.34695,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",120,2200,1150,3300,Mini Truck,4,30,1,Approximate planning coordinate near area center,37,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-008-03,Golf Green Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-008,Golf Green,Kolkata,22.48475,88.34945,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,80,1600,900,2700,Tempo/LCV,3,28,1,Approximate planning coordinate near area center,38,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-008-04,Golf Green Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-008,Golf Green,Kolkata,22.48685,88.34935,Soft Drinks & Beverages; Tea & Coffee,100,1800,1050,2100,Van,3,26,1,Approximate planning coordinate near area center,39,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-008-05,"Golf Green Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-008,Golf Green,Kolkata,22.48575,88.34795,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,70,1400,750,2100,Mini Truck,3,29,1,Approximate planning coordinate near area center,40,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-009-01,Garia Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-009,Garia,Kolkata,22.46345,88.38755,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,80,1900,900,2600,Refrigerated Mini Truck,4,34,1,Approximate planning coordinate near area center,41,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-009-02,Garia Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-009,Garia,Kolkata,22.46615,88.38775,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",100,2300,1200,3400,Mini Truck,5,30,1,Approximate planning coordinate near area center,42,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-009-03,Garia Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-009,Garia,Kolkata,22.46385,88.39025,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,60,1700,950,2800,Tempo/LCV,4,28,1,Approximate planning coordinate near area center,43,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-009-04,Garia Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-009,Garia,Kolkata,22.46595,88.39015,Soft Drinks & Beverages; Tea & Coffee,80,1900,1100,2200,Van,4,26,1,Approximate planning coordinate near area center,44,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-009-05,"Garia Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-009,Garia,Kolkata,22.46485,88.38875,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,50,1500,800,2200,Mini Truck,4,29,1,Approximate planning coordinate near area center,45,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-010-01,Kasba Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-010,Kasba,Kolkata,22.5201,88.3848,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,90,2000,700,2200,Refrigerated Mini Truck,3,34,1,Approximate planning coordinate near area center,46,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-010-02,Kasba Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-010,Kasba,Kolkata,22.5228,88.385,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",110,2400,1000,3000,Mini Truck,4,30,1,Approximate planning coordinate near area center,47,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-010-03,Kasba Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-010,Kasba,Kolkata,22.5205,88.3875,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,70,1800,750,2400,Tempo/LCV,3,28,1,Approximate planning coordinate near area center,48,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-010-04,Kasba Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-010,Kasba,Kolkata,22.5226,88.3874,Soft Drinks & Beverages; Tea & Coffee,90,2000,900,1800,Van,3,26,1,Approximate planning coordinate near area center,49,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-010-05,"Kasba Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-010,Kasba,Kolkata,22.5215,88.386,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,60,1600,600,1800,Mini Truck,3,29,1,Approximate planning coordinate near area center,50,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-011-01,Mukundapur Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-011,Mukundapur,Kolkata,22.49185,88.40765,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,100,2100,750,2300,Refrigerated Mini Truck,4,34,1,Approximate planning coordinate near area center,51,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-011-02,Mukundapur Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-011,Mukundapur,Kolkata,22.49455,88.40785,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",120,2500,1050,3100,Mini Truck,5,30,1,Approximate planning coordinate near area center,52,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-011-03,Mukundapur Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-011,Mukundapur,Kolkata,22.49225,88.41035,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,80,1900,800,2500,Tempo/LCV,4,28,1,Approximate planning coordinate near area center,53,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-011-04,Mukundapur Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-011,Mukundapur,Kolkata,22.49435,88.41025,Soft Drinks & Beverages; Tea & Coffee,100,2100,950,1900,Van,4,26,1,Approximate planning coordinate near area center,54,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-011-05,"Mukundapur Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-011,Mukundapur,Kolkata,22.49325,88.40885,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,70,1700,650,1900,Mini Truck,4,29,1,Approximate planning coordinate near area center,55,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-012-01,Santoshpur Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-012,Santoshpur,Kolkata,22.48845,88.38495,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,80,1800,800,2400,Refrigerated Mini Truck,3,34,1,Approximate planning coordinate near area center,56,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-012-02,Santoshpur Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-012,Santoshpur,Kolkata,22.49115,88.38515,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",100,2200,1100,3200,Mini Truck,4,30,1,Approximate planning coordinate near area center,57,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-012-03,Santoshpur Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-012,Santoshpur,Kolkata,22.48885,88.38765,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,60,1600,850,2600,Tempo/LCV,3,28,1,Approximate planning coordinate near area center,58,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-012-04,Santoshpur Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-012,Santoshpur,Kolkata,22.49095,88.38755,Soft Drinks & Beverages; Tea & Coffee,80,1800,1000,2000,Van,3,26,1,Approximate planning coordinate near area center,59,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-012-05,"Santoshpur Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-012,Santoshpur,Kolkata,22.48985,88.38615,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,50,1400,700,2000,Mini Truck,3,29,1,Approximate planning coordinate near area center,60,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-013-01,New Alipore Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-013,New Alipore,Kolkata,22.5064,88.3335,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,90,1900,850,2500,Refrigerated Mini Truck,4,34,1,Approximate planning coordinate near area center,61,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-013-02,New Alipore Staples & Cooking Depot,SUP-T02,Staples & Cooking,KOL-LOC-013,New Alipore,Kolkata,22.5091,88.3337,"Rice & Staples; Pulses & Dal; Flour, Atta & Baking Essentials; Cooking Oil & Ghee",110,2300,1150,3300,Mini Truck,5,30,1,Approximate planning coordinate near area center,62,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-013-03,New Alipore Packaged Foods & Bakery Distribution Hub,SUP-T03,Packaged Foods & Bakery,KOL-LOC-013,New Alipore,Kolkata,22.5068,88.3362,Biscuits & Cookies; Bread & Bakery; Chips & Namkeen; Chocolates & Confectionery; Instant & Packaged Foods,70,1700,900,2700,Tempo/LCV,4,28,1,Approximate planning coordinate near area center,63,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-013-04,New Alipore Beverages Supply Point,SUP-T04,Beverages,KOL-LOC-013,New Alipore,Kolkata,22.5089,88.3361,Soft Drinks & Beverages; Tea & Coffee,90,1900,1050,2100,Van,4,26,1,Approximate planning coordinate near area center,64,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-013-05,"New Alipore Home, Personal & Family Wholesale Hub",SUP-T05,"Home, Personal & Family",KOL-LOC-013,New Alipore,Kolkata,22.5078,88.3347,Baby Care & Family Care; Household Essentials; Home Cleaning; Oral Care; Personal Care,60,1500,750,2100,Mini Truck,4,29,1,Approximate planning coordinate near area center,65,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
SUP-KOL-014-01,Behala Fresh Produce & Chilled Market,SUP-T01,Fresh Produce & Chilled,KOL-LOC-014,Behala,Kolkata,22.49475,88.31665,Fresh Fruits; Fresh Vegetables; Dairy & Milk Products; Ice Cream & Frozen Desserts,100,2000,900,2600,Refrigerated Mini Truck,3,34,1,Approximate planning coordinate near area center,66,supplier_inventory.xlsx,Supplier_Master,2026-09-21T14:25:30.977573+00:00
