supplier_id,supplier_name,supplier_type,location_id,product_id
SUP-093,Park Street Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-019,PRO-011
SUP-094,Park Street Beverages Supply Point,Beverages,KOL-LOC-019,PRO-031
SUP-095,"Park Street Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-019,PRO-141
SUP-096,Esplanade Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-020,PRO-001
SUP-097,Esplanade Staples & Cooking Depot,Staples & Cooking,KOL-LOC-020,PRO-061
SUP-098,Esplanade Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-020,PRO-011
SUP-099,Esplanade Beverages Supply Point,Beverages,KOL-LOC-020,PRO-031
SUP-100,"Esplanade Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-020,PRO-141
SUP-101,Entally Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-021,PRO-001
SUP-102,Entally Staples & Cooking Depot,Staples & Cooking,KOL-LOC-021,PRO-061
SUP-103,Entally Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-021,PRO-011
SUP-104,Entally Beverages Supply Point,Beverages,KOL-LOC-021,PRO-031
SUP-105,"Entally Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-021,PRO-141
SUP-106,Sealdah Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-022,PRO-001
SUP-107,Sealdah Staples & Cooking Depot,Staples & Cooking,KOL-LOC-022,PRO-061
SUP-108,Sealdah Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-022,PRO-011
SUP-109,Sealdah Beverages Supply Point,Beverages,KOL-LOC-022,PRO-031
SUP-110,"Sealdah Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-022,PRO-141
SUP-111,Tangra Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-023,PRO-001
SUP-112,Tangra Staples & Cooking Depot,Staples & Cooking,KOL-LOC-023,PRO-061
SUP-113,Tangra Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-023,PRO-011
SUP-114,Tangra Beverages Supply Point,Beverages,KOL-LOC-023,PRO-031
SUP-115,"Tangra Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-023,PRO-141
SUP-116,Topsia Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-024,PRO-001
SUP-117,Topsia Staples & Cooking Depot,Staples & Cooking,KOL-LOC-024,PRO-061
SUP-118,Topsia Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-024,PRO-011
SUP-119,Topsia Beverages Supply Point,Beverages,KOL-LOC-024,PRO-031
SUP-120,"Topsia Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-024,PRO-141
SUP-121,Beliaghata Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-025,PRO-001
SUP-122,Beliaghata Staples & Cooking Depot,Staples & Cooking,KOL-LOC-025,PRO-061
SUP-123,Beliaghata Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-025,PRO-011
SUP-124,Beliaghata Beverages Supply Point,Beverages,KOL-LOC-025,PRO-031
SUP-125,"Beliaghata Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-025,PRO-141
SUP-126,Maniktala Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-026,PRO-001
SUP-127,Maniktala Staples & Cooking Depot,Staples & Cooking,KOL-LOC-026,PRO-061
SUP-128,Maniktala Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-026,PRO-011
SUP-129,Maniktala Beverages Supply Point,Beverages,KOL-LOC-026,PRO-031
SUP-130,"Maniktala Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-026,PRO-141
SUP-131,Kankurgachi Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-027,PRO-001
SUP-132,Kankurgachi Staples & Cooking Depot,Staples & Cooking,KOL-LOC-027,PRO-061
SUP-133,Kankurgachi Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-027,PRO-011
SUP-134,Kankurgachi Beverages Supply Point,Beverages,KOL-LOC-027,PRO-031
SUP-135,"Kankurgachi Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-027,PRO-141
SUP-136,Ultadanga Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-028,PRO-001
SUP-137,Ultadanga Staples & Cooking Depot,Staples & Cooking,KOL-LOC-028,PRO-061
SUP-138,Ultadanga Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-028,PRO-011
SUP-139,Ultadanga Beverages Supply Point,Beverages,KOL-LOC-028,PRO-031
SUP-140,"Ultadanga Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-028,PRO-141
SUP-141,Lake Town Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-029,PRO-001
SUP-142,Lake Town Staples & Cooking Depot,Staples & Cooking,KOL-LOC-029,PRO-061
SUP-143,Lake Town Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-029,PRO-011
SUP-144,Lake Town Beverages Supply Point,Beverages,KOL-LOC-029,PRO-031
SUP-145,"Lake Town Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-029,PRO-141
SUP-146,Dum Dum Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-030,PRO-001
SUP-147,Dum Dum Staples & Cooking Depot,Staples & Cooking,KOL-LOC-030,PRO-061
SUP-148,Dum Dum Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-030,PRO-011
SUP-149,Dum Dum Beverages Supply Point,Beverages,KOL-LOC-030,PRO-031
SUP-150,"Dum Dum Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-030,PRO-141
SUP-151,Nagerbazar Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-031,PRO-001
SUP-152,Nagerbazar Staples & Cooking Depot,Staples & Cooking,KOL-LOC-031,PRO-061
SUP-153,Nagerbazar Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-031,PRO-011
SUP-154,Nagerbazar Beverages Supply Point,Beverages,KOL-LOC-031,PRO-031
SUP-155,"Nagerbazar Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-031,PRO-141
SUP-156,Shyambazar Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-032,PRO-001
SUP-157,Shyambazar Staples & Cooking Depot,Staples & Cooking,KOL-LOC-032,PRO-061
SUP-158,Shyambazar Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-032,PRO-011
SUP-159,Shyambazar Beverages Supply Point,Beverages,KOL-LOC-032,PRO-031
SUP-160,"Shyambazar Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-032,PRO-141
SUP-161,Salt Lake Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-033,PRO-001
SUP-162,Salt Lake Staples & Cooking Depot,Staples & Cooking,KOL-LOC-033,PRO-061
SUP-163,Salt Lake Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-033,PRO-011
SUP-164,Salt Lake Beverages Supply Point,Beverages,KOL-LOC-033,PRO-031
SUP-165,"Salt Lake Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-033,PRO-141
SUP-166,Sector V Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-034,PRO-001
SUP-167,Sector V Staples & Cooking Depot,Staples & Cooking,KOL-LOC-034,PRO-061
SUP-168,Sector V Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-034,PRO-011
SUP-169,Sector V Beverages Supply Point,Beverages,KOL-LOC-034,PRO-031
SUP-170,"Sector V Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-034,PRO-141
SUP-171,New Town Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-035,PRO-001
SUP-172,New Town Staples & Cooking Depot,Staples & Cooking,KOL-LOC-035,PRO-061
SUP-173,New Town Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-035,PRO-011
SUP-174,New Town Beverages Supply Point,Beverages,KOL-LOC-035,PRO-031
SUP-175,"New Town Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-035,PRO-141
SUP-176,Rajarhat Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-036,PRO-001
SUP-177,Rajarhat Staples & Cooking Depot,Staples & Cooking,KOL-LOC-036,PRO-061
SUP-178,Rajarhat Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-036,PRO-011
SUP-179,Rajarhat Beverages Supply Point,Beverages,KOL-LOC-036,PRO-031
SUP-180,"Rajarhat Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-036,PRO-141
SUP-181,Anandapur Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-037,PRO-001
SUP-182,Anandapur Staples & Cooking Depot,Staples & Cooking,KOL-LOC-037,PRO-061
SUP-183,Anandapur Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-037,PRO-011
SUP-184,Anandapur Beverages Supply Point,Beverages,KOL-LOC-037,PRO-031
SUP-185,"Anandapur Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-037,PRO-141
SUP-186,Patuli Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-038,PRO-001
SUP-187,Patuli Staples & Cooking Depot,Staples & Cooking,KOL-LOC-038,PRO-061
SUP-188,Patuli Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-038,PRO-011
SUP-189,Patuli Beverages Supply Point,Beverages,KOL-LOC-038,PRO-031
SUP-190,"Patuli Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-038,PRO-141
SUP-191,Nayabad Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-039,PRO-001
SUP-192,Nayabad Staples & Cooking Depot,Staples & Cooking,KOL-LOC-039,PRO-061
SUP-193,Nayabad Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-039,PRO-011
SUP-194,Nayabad Beverages Supply Point,Beverages,KOL-LOC-039,PRO-031
SUP-195,"Nayabad Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-039,PRO-141
SUP-196,Chak Garia Fresh Produce & Chilled Market,Fresh Produce & Chilled,KOL-LOC-040,PRO-001
SUP-197,Chak Garia Staples & Cooking Depot,Staples & Cooking,KOL-LOC-040,PRO-061
SUP-198,Chak Garia Packaged Foods & Bakery Distribution Hub,Packaged Foods & Bakery,KOL-LOC-040,PRO-011
SUP-199,Chak Garia Beverages Supply Point,Beverages,KOL-LOC-040,PRO-031
SUP-200,"Chak Garia Home, Personal & Family Wholesale Hub","Home, Personal & Family",KOL-LOC-040,PRO-141
